date,point_id,mgrs,nlcd,count,et,eto
2016-01-01,12R_nlcd31_03,12R,31,5.0,28.0,71
2016-01-01,12R_nlcd41_03,12R,41,4.0,33.0,75
2016-01-01,12R_nlcd42_03,12R,42,5.0,32.0,67
2016-01-01,12R_nlcd43_03,12R,43,4.0,33.0,69
2016-01-01,12R_nlcd52_03,12R,52,4.0,5.0,75
2016-01-01,12R_nlcd71_03,12R,71,4.0,6.0,75
2016-01-01,12R_nlcd81_03,12R,81,5.0,23.0,74
2016-01-01,12R_nlcd82_03,12R,82,4.0,35.0,78
2016-01-01,12R_nlcd90_03,12R,90,5.0,28.0,71
2016-01-01,12R_nlcd31_02,12R,31,4.0,3.0,71
2016-01-01,12R_nlcd41_02,12R,41,5.0,42.0,75
2016-01-01,12R_nlcd42_02,12R,42,4.0,45.0,75
2016-01-01,12R_nlcd43_02,12R,43,5.0,31.0,78
2016-01-01,12R_nlcd52_02,12R,52,5.0,12.0,77
2016-01-01,12R_nlcd71_02,12R,71,4.0,27.0,80
2016-01-01,12R_nlcd81_02,12R,81,5.0,24.0,76
2016-01-01,12R_nlcd82_02,12R,82,4.0,21.0,78
2016-01-01,12R_nlcd90_02,12R,90,4.0,38.0,76
2016-01-01,12R_nlcd31_01,12R,31,4.0,17.0,68
2016-01-01,12R_nlcd41_01,12R,41,5.0,37.0,75
2016-01-01,12R_nlcd42_01,12R,42,5.0,32.0,76
2016-01-01,12R_nlcd43_01,12R,43,5.0,32.0,76
2016-01-01,12R_nlcd52_01,12R,52,4.0,12.0,73
2016-01-01,12R_nlcd71_01,12R,71,6.0,14.0,79
2016-01-01,12R_nlcd81_01,12R,81,5.0,18.0,77
2016-01-01,12R_nlcd82_01,12R,82,5.0,12.0,78
2016-01-01,12R_nlcd90_01,12R,90,5.0,15.0,81
2016-01-01,12R_nlcd31_00,12R,31,5.0,23.0,67
2016-01-01,12R_nlcd41_00,12R,41,6.0,41.0,76
2016-01-01,12R_nlcd42_00,12R,42,5.0,33.0,75
2016-01-01,12R_nlcd43_00,12R,43,4.0,8.0,63
2016-01-01,12R_nlcd52_00,12R,52,4.0,40.0,68
2016-01-01,12R_nlcd71_00,12R,71,6.0,14.0,78
2016-01-01,12R_nlcd81_00,12R,81,5.0,23.0,75
2016-01-01,12R_nlcd82_00,12R,82,4.0,9.0,78
2016-01-01,12R_nlcd90_00,12R,90,4.0,26.0,75
2016-02-01,12R_nlcd31_08,12R,31,5.0,15.0,115
2016-02-01,12R_nlcd41_08,12R,41,4.0,49.0,123
2016-02-01,12R_nlcd42_08,12R,42,4.0,40.0,116
2016-02-01,12R_nlcd43_08,12R,43,4.0,58.0,119
2016-02-01,12R_nlcd52_08,12R,52,4.0,20.0,124
2016-02-01,12R_nlcd71_08,12R,71,4.0,14.0,122
2016-02-01,12R_nlcd81_08,12R,81,5.0,55.0,117
2016-02-01,12R_nlcd82_08,12R,82,6.0,28.0,124
2016-02-01,12R_nlcd90_08,12R,90,5.0,73.0,116
2016-02-01,12R_nlcd31_07,12R,31,5.0,8.0,115
2016-02-01,12R_nlcd41_07,12R,41,5.0,43.0,120
2016-02-01,12R_nlcd42_07,12R,42,4.0,33.0,116
2016-02-01,12R_nlcd43_07,12R,43,5.0,48.0,115
2016-02-01,12R_nlcd52_07,12R,52,5.0,12.0,123
2016-02-01,12R_nlcd71_07,12R,71,4.0,17.0,111
2016-02-01,12R_nlcd81_07,12R,81,6.0,31.0,124
2016-02-01,12R_nlcd82_07,12R,82,4.0,7.0,115
2016-02-01,12R_nlcd90_07,12R,90,5.0,59.0,131
2016-02-01,12R_nlcd31_06,12R,31,5.0,8.0,115
2016-02-01,12R_nlcd41_06,12R,41,5.0,45.0,123
2016-02-01,12R_nlcd42_06,12R,42,4.0,63.0,115
2016-02-01,12R_nlcd43_06,12R,43,4.0,46.0,114
2016-02-01,12R_nlcd52_06,12R,52,6.0,10.0,124
2016-02-01,12R_nlcd71_06,12R,71,5.0,11.0,125
2016-02-01,12R_nlcd81_06,12R,81,5.0,33.0,118
2016-02-01,12R_nlcd82_06,12R,82,4.0,17.0,116
2016-02-01,12R_nlcd90_06,12R,90,5.0,57.0,116
2016-02-01,12R_nlcd31_05,12R,31,4.0,11.0,116
2016-02-01,12R_nlcd41_05,12R,41,4.0,44.0,124
2016-02-01,12R_nlcd42_05,12R,42,5.0,45.0,113
2016-02-01,12R_nlcd43_05,12R,43,5.0,47.0,122
2016-02-01,12R_nlcd52_05,12R,52,5.0,13.0,132
2016-02-01,12R_nlcd71_05,12R,71,5.0,19.0,111
2016-02-01,12R_nlcd81_05,12R,81,5.0,49.0,120
2016-02-01,12R_nlcd82_05,12R,82,5.0,77.0,123
2016-02-01,12R_nlcd90_05,12R,90,5.0,48.0,131
2016-02-01,12R_nlcd31_04,12R,31,4.0,11.0,119
2016-02-01,12R_nlcd41_04,12R,41,5.0,58.0,122
2016-02-01,12R_nlcd42_04,12R,42,5.0,24.0,114
2016-02-01,12R_nlcd43_04,12R,43,4.0,47.0,116
2016-02-01,12R_nlcd52_04,12R,52,5.0,35.0,106
2016-02-01,12R_nlcd71_04,12R,71,5.0,56.0,121
2016-02-01,12R_nlcd81_04,12R,81,5.0,29.0,123
2016-02-01,12R_nlcd82_04,12R,82,5.0,13.0,128
2016-02-01,12R_nlcd90_04,12R,90,5.0,76.0,123
2016-02-01,12R_nlcd31_03,12R,31,5.0,29.0,119
2016-02-01,12R_nlcd41_03,12R,41,5.0,45.0,123
2016-02-01,12R_nlcd42_03,12R,42,5.0,49.0,117
2016-02-01,12R_nlcd43_03,12R,43,4.0,40.0,119
2016-02-01,12R_nlcd52_03,12R,52,4.0,8.0,122
2016-02-01,12R_nlcd71_03,12R,71,4.0,3.0,110
2016-02-01,12R_nlcd81_03,12R,81,4.0,30.0,123
2016-02-01,12R_nlcd82_03,12R,82,5.0,69.0,123
2016-02-01,12R_nlcd90_03,12R,90,5.0,49.0,119
2016-02-01,12R_nlcd31_02,12R,31,4.0,4.0,119
2016-02-01,12R_nlcd41_02,12R,41,5.0,65.0,122
2016-02-01,12R_nlcd42_02,12R,42,5.0,59.0,118
2016-02-01,12R_nlcd43_02,12R,43,4.0,45.0,132
2016-02-01,12R_nlcd52_02,12R,52,5.0,17.0,129
2016-02-01,12R_nlcd71_02,12R,71,6.0,25.0,124
2016-02-01,12R_nlcd81_02,12R,81,4.0,37.0,125
2016-02-01,12R_nlcd82_02,12R,82,5.0,16.0,116
2016-02-01,12R_nlcd90_02,12R,90,4.0,59.0,124
2016-02-01,12R_nlcd31_01,12R,31,4.0,8.0,115
2016-02-01,12R_nlcd41_01,12R,41,5.0,50.0,123
2016-02-01,12R_nlcd42_01,12R,42,5.0,50.0,118
2016-02-01,12R_nlcd43_01,12R,43,5.0,61.0,124
2016-02-01,12R_nlcd52_01,12R,52,4.0,15.0,124
2016-02-01,12R_nlcd71_01,12R,71,6.0,6.0,116
2016-02-01,12R_nlcd81_01,12R,81,4.0,36.0,120
2016-02-01,12R_nlcd82_01,12R,82,4.0,10.0,115
2016-02-01,12R_nlcd90_01,12R,90,4.0,19.0,128
2016-02-01,12R_nlcd31_00,12R,31,6.0,10.0,109
2016-02-01,12R_nlcd41_00,12R,41,6.0,61.0,124
2016-02-01,12R_nlcd42_00,12R,42,4.0,42.0,116
2016-02-01,12R_nlcd43_00,12R,43,4.0,17.0,114
2016-02-01,12R_nlcd52_00,12R,52,5.0,46.0,114
2016-02-01,12R_nlcd71_00,12R,71,4.0,3.0,116
2016-02-01,12R_nlcd81_00,12R,81,5.0,31.0,122
2016-02-01,12R_nlcd82_00,12R,82,4.0,12.0,116
2016-02-01,12R_nlcd90_00,12R,90,4.0,44.0,122
2016-03-01,12R_nlcd31_08,12R,31,4.0,16.0,152
2016-03-01,12R_nlcd41_08,12R,41,5.0,81.0,151
2016-03-01,12R_nlcd42_08,12R,42,5.0,76.0,148
2016-03-01,12R_nlcd43_08,12R,43,5.0,66.0,148
2016-03-01,12R_nlcd52_08,12R,52,5.0,39.0,162
2016-03-01,12R_nlcd71_08,12R,71,4.0,11.0,149
2016-03-01,12R_nlcd81_08,12R,81,5.0,88.0,145
2016-03-01,12R_nlcd82_08,12R,82,6.0,74.0,163
2016-03-01,12R_nlcd90_08,12R,90,4.0,112.0,146
2016-03-01,12R_nlcd31_07,12R,31,5.0,22.0,153
2016-03-01,12R_nlcd41_07,12R,41,4.0,83.0,149
2016-03-01,12R_nlcd42_07,12R,42,5.0,57.0,154
2016-03-01,12R_nlcd43_07,12R,43,4.0,58.0,144
2016-03-01,12R_nlcd52_07,12R,52,4.0,19.0,150
2016-03-01,12R_nlcd71_07,12R,71,4.0,37.0,138
2016-03-01,12R_nlcd81_07,12R,81,6.0,37.0,152
