MGRS: 18T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
Randomly drop a four month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2305   0.1785   0.1160   0.6315   0.3569   0.5089     4422
        climo_mean   0.1365   0.1042   0.0039   0.7518   0.1662   0.7557     4422
      climo_median   0.1403   0.0992  -0.0009   0.7749   0.1462   0.7429     4422
             conor   0.1333   0.1018   0.0040   0.7704   0.1541   0.7668     4422
     interp_clim_a   0.1621   0.1257   0.0600   0.6917   0.2615   0.7022     4422
     interp_clim_b   0.1713   0.1317   0.0676   0.6788   0.2776   0.6749     4422
     interp_clim_c   0.1619   0.1244   0.0576   0.7032   0.2516   0.6992     4422
       whit_a_0p50   0.2230   0.1711   0.0759   0.6746   0.2886   0.4913     4422
       whit_a_0p20   0.2246   0.1719   0.0608   0.6889   0.2641   0.4787     4422
       whit_a_0p10   0.2280   0.1744   0.0540   0.6964   0.2525   0.4678     4422
       whit_a_0p05   0.2316   0.1771   0.0500   0.7014   0.2452   0.4580     4422
       whit_a_0p01   0.2369   0.1811   0.0461   0.7067   0.2379   0.4451     4422

Randomly drop a six month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2536   0.1996   0.0066   0.4958   0.4003   0.3485     4482
        climo_mean   0.1176   0.0885  -0.0007   0.8311   0.1311   0.8467     4482
      climo_median   0.1214   0.0849  -0.0019   0.8535   0.1125   0.8367     4482
             conor   0.1154   0.0868  -0.0002   0.8428   0.1226   0.8523     4482
     interp_clim_a   0.1607   0.1260   0.0029   0.6635   0.2657   0.7174     4482
     interp_clim_b   0.1679   0.1307   0.0078   0.6475   0.2830   0.6900     4482
     interp_clim_c   0.1599   0.1248   0.0024   0.6747   0.2564   0.7188     4482
       whit_a_0p50   0.2621   0.1981   0.0041   0.5794   0.3326   0.3642     4482
       whit_a_0p20   0.2626   0.1975   0.0027   0.6146   0.3037   0.3796     4482
       whit_a_0p10   0.2652   0.1998   0.0015   0.6303   0.2902   0.3813     4482
       whit_a_0p05   0.2682   0.2024   0.0003   0.6390   0.2822   0.3791     4482
       whit_a_0p01   0.2729   0.2063  -0.0013   0.6463   0.2749   0.3729     4482

Randomly drop a six month gap during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2685   0.2125  -0.0900   0.5119   0.3222   0.3390     4482
        climo_mean   0.1097   0.0818  -0.0031   0.8468   0.1262   0.8594     4482
      climo_median   0.1134   0.0788  -0.0019   0.8646   0.1124   0.8496     4482
             conor   0.1089   0.0811  -0.0025   0.8560   0.1190   0.8611     4482
     interp_clim_a   0.1623   0.1289  -0.0466   0.6794   0.2242   0.7191     4482
     interp_clim_b   0.1670   0.1319  -0.0445   0.6684   0.2355   0.6978     4482
     interp_clim_c   0.1616   0.1279  -0.0460   0.6882   0.2173   0.7202     4482
       whit_a_0p50   0.2832   0.2145  -0.0746   0.5640   0.2936   0.3175     4482
       whit_a_0p20   0.2839   0.2139  -0.0651   0.5883   0.2826   0.3232     4482
       whit_a_0p10   0.2867   0.2158  -0.0604   0.5998   0.2776   0.3212     4482
       whit_a_0p05   0.2900   0.2182  -0.0574   0.6062   0.2750   0.3171     4482
       whit_a_0p01   0.2952   0.2223  -0.0549   0.6115   0.2731   0.3095     4482

Randomly drop a six month gap during the the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.2360   0.1829   0.0976   0.5785   0.4011   0.4864     4422
        climo_mean   0.1260   0.0952   0.0015   0.8170   0.1332   0.8175     4422
